id,read.number,Numeric.Animal.ID,Capture.Week,Capture.Number,age.month.corrected,age.years,Sex,Average.BCS,Season,percent.cells.infected,Tvelifera.sc,TveliferaB,TveliferaUD,Tmutans1,Tmutans2,Tmutans3,TmutansMSD,Tmutans.sc,TmutansUD,TspBg,TspBf,Tparva
56c6,34635,56,12/6/15,6,21,1.76,F,2.5,wet,0.238602362,0.132583,0.090602,0,0.206208,0.0416053,0.1663346,0,0,0,0.362668,0,0
56c7,40286,56,2/23/15,7,24,1.99,F,3.5,wet,0.111379115,0.140843,0.144169,0,0.26148,0.0657549,0.2613311,0,0,0,0.126421,0,0
56c8,87803,56,6/2/14,8,27,2.254794521,F,3.75,dry,0.025815523,0.101671,0.1230026,0,0.270002,0.0987438,0.201337,0,0,0,0.205244,0,0
56c9,41510,56,8/4/15,9,29,2.42739726,F,3.25,dry,0.301653754,0.140472,0.1592142,0,0.201686,0.0665864,0.1846785,0,0,0,0.247362,0,0
56c10,66064,56,10/5/15,10,31,2.6,F,3.75,dry,0.010056143,0.0761383,0.0852961,0,0.208676,0.0712491,0.2435817,0,0,0,0.297787,0,0.0172711
56c11,23359,56,12/1/15,11,33,2.753424658,F,3.5,wet,0.013098404,0.0462349,0.0753885,0,0.227621,0.0521426,0.2822891,0,0,0,0.276981,0,0.0393424
58c1,93573,58,2/25/14,1,30,2.5,M,3.5,wet,0.078361619,0.140553,0.1076913,0,0.133906,0.0674554,0.1513471,0,0,0,0.296303,0,0.1027434
58c3,45486,58,6/6/14,3,33,2.83,M,2.75,dry,0.074671053,0.0620411,0.0915447,0,0.285011,0.0947105,0.1709757,0,0,0,0.209361,0,0.0863562
58c4,35439,58,8/13/14,4,35,2.95,M,2.5,dry,0.105085034,0.0788961,0.0648156,0,0.344649,0.0893084,0.3005163,0,0,0,0.0897317,0,0.0320833
58c5,41793,58,10/14/14,5,37,3.13,M,1.75,dry,0.1046875,0.0629771,0.0665901,0,0.27184,0.102864,0.2802386,0,0,0,0.171512,0,0.0439787
58c6,45923,58,12/6/15,6,39,3.27,M,1.75,wet,0.127018025,0.133528,0.1056115,0,0.222655,0.0725127,0.1518193,0,0,0,0.2325632,0,0.08131
58c7,52248,58,2/23/15,7,42,3.49,M,3.5,wet,0.114261518,0.0665671,0.0419155,0,0.342271,0.0931519,0.3431323,0,0,0,0.0734191,0,0.0395422
58c8,69372,58,6/2/14,8,45,3.756164384,M,3.5,dry,0.02101469,0.0792539,0.0825693,0,0.25937,0.0844289,0.2626417,0,0,0,0.136669,0,0.0950672
58c9,49402,58,8/4/15,9,47,3.928767123,M,2.75,dry,0.3475,0.126918,0.0960892,0,0.241468,0.0868183,0.2223594,0,0,0,0.1750743,0,0.0512732
58c10,51126,58,10/5/15,10,49,4.101369863,M,3.75,dry,0.003342326,0.0795681,0.0787857,0,0.253961,0.0708446,0.2540591,0,0,0,0.138853,0,0.1239287
58c11,45673,58,12/1/15,11,51,4.254794521,M,4,wet,0.01406957,0.0631007,0.0581525,0,0.220305,0.0705888,0.1933966,0,0,0,0.2903468,0,0.10411
60c1,56732,60,2/25/14,1,18,1.5,F,3,wet,0.05863867,0.149263,0.0596489,0,0.177378,0.0430445,0.219488,0.0678101,0.103945,0,0.143464,0,0.0359585
60c3,52428,60,6/6/14,3,21,1.83,F,3.5,dry,0.076495838,0.0797475,0.0719272,0,0.192264,0.0359731,0.1628328,0,0.0253491,0,0.311799,0,0.120108
60c4,37206,60,8/13/14,4,23,1.95,F,2.75,dry,0.113943528,0.131645,0.0952535,0,0.203677,0.0405849,0.1992689,0,0.0169596,0,0.235258,0,0.0773531
60c5,45857,60,10/14/14,5,25,2.13,F,2,dry,0.111739544,0.123711,0.0264518,0,0.210044,0.0464051,0.2191813,0,0.0183614,0,0.204004,0,0.151842
60c6,48178,60,12/6/15,6,27,2.27,F,2.25,wet,0.120959596,0.115136,0.024617,0,0.239383,0.0407032,0.1979949,0,0.0311968,0,0.262485,0,0.0884844
60c7,46014,60,2/23/15,7,30,2.49,F,3.25,wet,0.157630814,0.101578,0.028926,0,0.321098,0.0591994,0.3189464,0,0,0,0.134981,0,0.0352719
60c8,64659,60,6/2/14,8,33,2.756164384,F,3.5,dry,0.008813603,0.0614764,0.0533104,0,0.284926,0.0638736,0.2276403,0,0.021915,0,0.188172,0,0.098687
60c9,54090,60,8/4/15,9,35,2.928767123,F,2.25,dry,0.226502976,0.118358,0.0493806,0,0.196302,0.0528564,0.1416898,0,0,0,0.286245,0,0.155167
60c10,53557,60,10/5/15,10,37,3.101369863,F,3.75,dry,0.002662822,0.073193,0.0259723,0,0.284799,0.0577142,0.2550551,0,0,0,0.192449,0,0.110817
60c11,27947,60,12/1/15,11,39,3.254794521,F,3.75,wet,0.012458927,0.0378932,0,0,0.301141,0.0809389,0.3245786,0,0,0,0.17798,0,0.0774681
102c1,103219,102,2/25/14,1,6,0.5,M,3.25,wet,0.055173482,0.10811,0.518732,0,0,0.177264,0,0,0.195894,0,0,0,0
102c3,116137,102,6/6/14,3,9,0.79,M,3,dry,0.031275304,0.32156,0.3019278,0,0,0,0,0.1355813,0.158675,0,0,0,0.0822563
102c4,119553,102,8/13/14,4,11,0.9,M,2.5,dry,0.149296075,0.395139,0.393976,0,0,0,0,0.0649335,0.0966015,0.0171639,0,0,0.0321866
